step,distinct_words,success_rate,dialects
0,0,0.0,1
50,37,0.0,44
100,59,0.02,50
150,66,0.02,50
200,70,0.08,50
250,72,0.1,50
300,72,0.06,50
350,73,0.12,50
400,73,0.14,50
450,73,0.12,50
500,73,0.1,50
550,71,0.16,50
600,69,0.22,48
650,69,0.2,48
700,69,0.24,49
750,68,0.18,49
800,66,0.24,49
850,64,0.22,47
900,61,0.34,46
950,60,0.22,45
1000,55,0.36,45
1050,51,0.32,45
1100,46,0.3,45
1150,44,0.24,44
1200,40,0.32,41
1250,37,0.3,39
1300,35,0.38,39
1350,32,0.46,36
1400,30,0.4,36
1450,28,0.46,33
1500,27,0.4,30
1550,27,0.38,28
1600,26,0.52,28
1650,26,0.42,24
1700,26,0.6,26
1750,26,0.42,24
1800,25,0.52,24
1850,25,0.46,21
1900,25,0.62,20
1950,24,0.48,19
2000,22,0.7,16
2050,18,0.66,16
2100,15,0.66,14
2150,14,0.6,14
2200,13,0.6,12
2250,13,0.64,12
2300,13,0.76,12
2350,12,0.82,11
2400,12,0.66,10
2450,12,0.72,8
2500,11,0.78,6
2550,10,0.8,6
2600,10,0.92,6
2650,10,0.74,6
2700,9,0.86,7
2750,9,0.84,7
2800,8,0.92,7
2850,8,0.88,7
2900,8,0.94,6
2950,8,0.86,5
3000,7,0.94,4
3050,6,0.98,4
3100,5,0.94,3
3150,5,1.0,3
3200,4,0.96,2
3250,4,0.98,2
3300,4,0.96,1
3350,4,1.0,1
3400,4,1.0,1
3450,4,1.0,1
3500,4,1.0,1
3550,3,1.0,1
3550,3,1.0,1
